,precision,recall,f1-score,support
0,0.03353658536585366,0.5,0.06285714285714286,44.0
1,0.9921930447125621,0.8151603498542274,0.8950064020486556,3430.0
accuracy,0.8111686816350029,0.8111686816350029,0.8111686816350029,0.8111686816350029
macro avg,0.5128648150392079,0.6575801749271137,0.4789317724528992,3474.0
weighted avg,0.9800511667012624,0.8111686816350029,0.8844668029109392,3474.0
