,0,1,accuracy,macro avg,weighted avg
precision,0.02072538860103627,0.9878085949405669,0.9340817501439264,0.5042669917708016,0.9755599878366696
recall,0.09090909090909091,0.9448979591836735,0.9340817501439264,0.5179035250463822,0.9340817501439264
f1-score,0.03375527426160337,0.9658769184920281,0.9340817501439264,0.49981609637681573,0.9540711175864037
support,44.0,3430.0,0.9340817501439264,3474.0,3474.0
