epoch,accuracy,auc,loss,lr,prc,precision,recall,val_accuracy,val_auc,val_loss,val_prc,val_precision,val_recall
0,0.5565217137336731,0.7992168664932251,2.0898807048797607,1e-04,0.9742706418037415,0.9738202691078186,0.5315372943878174,0.7449013590812683,0.9276323318481445,1.8398489952087402,0.9917861223220825,0.9876176118850708,0.7298682332038879
1,0.765300989151001,0.8986380696296692,1.889652967453003,1e-04,0.9874802231788635,0.9824250936508179,0.7580777406692505,0.8241390585899353,0.9523395299911499,1.689233422279358,0.9949567317962646,0.989352285861969,0.816251814365387
2,0.8113712668418884,0.920646071434021,1.809969425201416,1e-04,0.9908307194709778,0.9846785664558411,0.8072267174720764,0.7970578670501709,0.9595986008644104,1.664781928062439,0.9958205223083496,0.9934974312782288,0.7829428911209106
3,0.8205685615539551,0.9320526123046875,1.7534209489822388,1e-04,0.9923561811447144,0.9857158660888672,0.8165104389190674,0.8077566027641296,0.9638307094573975,1.627588152885437,0.9962471127510071,0.9926907420158386,0.7953879833221436
4,0.8301839232444763,0.9340457916259766,1.731165885925293,1e-04,0.9924731850624084,0.9855779409408569,0.8272503614425659,0.8475426435470581,0.9669927358627319,1.554621696472168,0.9965947866439819,0.9913644194602966,0.8404099345207214
5,0.8436455130577087,0.9450289011001587,1.6619982719421387,1e-04,0.9941796064376831,0.9869672060012817,0.8409028649330139,0.8401872515678406,0.9691960215568542,1.5201584100723267,0.9968336820602417,0.9925699234008789,0.8312591314315796
6,0.854347825050354,0.9460979700088501,1.641862392425537,1e-04,0.9942355155944824,0.9872456789016724,0.8524619936943054,0.846873939037323,0.9703704714775085,1.5001012086868286,0.9969651699066162,0.991782009601593,0.8393118381500244
7,0.8527591824531555,0.9519653916358948,1.589073657989502,1e-04,0.9950389862060547,0.9878383874893188,0.8501865863800049,0.8629220724105835,0.9706898927688599,1.4487724304199219,0.9969797134399414,0.9923664331436157,0.8565153479576111
8,0.8596153855323792,0.9526638388633728,1.5655521154403687,1e-04,0.9951044917106628,0.9874319434165955,0.8581050038337708,0.8726178407669067,0.9723455309867859,1.4143153429031372,0.9971799850463867,0.9916353225708008,0.867862343788147
9,0.866304337978363,0.9569082856178284,1.522580862045288,1e-04,0.9955995082855225,0.9893661141395569,0.8637480735778809,0.8682714700698853,0.973854124546051,1.385546088218689,0.9973305463790894,0.9915895462036133,0.8631039261817932
10,0.8610367774963379,0.9552181959152222,1.5081207752227783,1e-04,0.9953436255455017,0.9888854026794434,0.8583781123161316,0.8843196034431458,0.9739983081817627,1.344391942024231,0.9973247647285461,0.9905427694320679,0.8817716240882874
11,0.8721572160720825,0.9583836793899536,1.4747686386108398,1e-04,0.9954941272735596,0.9888360500335693,0.8706653118133545,0.9077231884002686,0.9738562703132629,1.2891960144042969,0.9973076581954956,0.9892430305480957,0.9088580012321472
12,0.8766722679138184,0.9581437110900879,1.4522693157196045,1e-04,0.9956929683685303,0.9888980388641357,0.8755802512168884,0.8776329159736633,0.9742350578308105,1.3020877838134766,0.9973368048667908,0.9912790656089783,0.8737188577651978
13,0.8777592182159424,0.962501585483551,1.405989408493042,1e-04,0.9961658716201782,0.9907264113426208,0.8751251697540283,0.9037111401557922,0.9754108190536499,1.2430930137634277,0.9974284172058105,0.9907630681991577,0.9030014872550964
14,0.877173900604248,0.9629103541374207,1.3841034173965454,1e-04,0.9961528182029724,0.9899114966392517,0.8752161860466003,0.9020394682884216,0.9749592542648315,1.2178349494934082,0.9973728656768799,0.9907444715499878,0.9011713266372681
15,0.8838628530502319,0.964989423751831,1.35178542137146,1e-04,0.9963390827178955,0.9908960461616516,0.8816783428192139,0.8920093774795532,0.9758864045143127,1.2132488489151,0.9974855184555054,0.9918333888053894,0.8890922665596008
16,0.8874582052230835,0.9629917740821838,1.3460458517074585,1e-04,0.9958447813987732,0.9903367161750793,0.8861381411552429,0.9017050862312317,0.9751994609832764,1.1698628664016724,0.9973498582839966,0.9899517893791199,0.9015373587608337
17,0.8808528184890747,0.9656263589859009,1.304218053817749,1e-04,0.9964134693145752,0.9906609058380127,0.8785837888717651,0.9170845746994019,0.9756135940551758,1.126380443572998,0.9974745512008667,0.987824022769928,0.9205710291862488
18,0.8968227505683899,0.9704297184944153,1.2565711736679077,1e-04,0.9970240592956543,0.991830587387085,0.8950577974319458,0.9361417293548584,0.9759372472763062,1.068778157234192,0.9974381923675537,0.9869681596755981,0.9425329566001892
19,0.8883779048919678,0.9688270092010498,1.2434957027435303,1e-04,0.9968289136886597,0.9901483058929443,0.8873213529586792,0.9187562465667725,0.9772862195968628,1.0722062587738037,0.9976166486740112,0.9889980554580688,0.9213030934333801
20,0.8938127160072327,0.9647657871246338,1.2516953945159912,1e-04,0.9962970018386841,0.9895213842391968,0.8938745856285095,0.9167502522468567,0.9769152402877808,1.0493229627609253,0.9975804090499878,0.9885871410369873,0.9194729328155518
21,0.8894648551940918,0.9643175601959229,1.230507254600525,1e-04,0.9960202574729919,0.9904597401618958,0.8882315754890442,0.9077231884002686,0.9769618511199951,1.0470043420791626,0.9975825548171997,0.9896332025527954,0.9084919691085815
22,0.8929765820503235,0.9699940085411072,1.1735889911651611,1e-04,0.996916651725769,0.9918921589851379,0.8907800316810608,0.9257773160934448,0.9776656627655029,1.0072134733200073,0.9977031350135803,0.989469587802887,0.9286237359046936
23,0.8968227505683899,0.9709147214889526,1.148447036743164,1e-04,0.9970792531967163,0.9916322231292725,0.8952398300170898,0.9220996499061584,0.977600634098053,0.9829350709915161,0.9976010322570801,0.9898079037666321,0.9242313504219055
