,0,1,accuracy,macro avg,weighted avg
precision,0.5485232067510548,0.9852941176470589,0.9299090422685928,0.7669086621990568,0.9493055032661147
recall,0.8441558441558441,0.9376093294460641,0.9299090422685928,0.8908825868009541,0.9299090422685928
f1-score,0.6649616368286445,0.9608604720645354,0.9299090422685928,0.81291105444659,0.9364792946293684
support,308.0,3430.0,0.9299090422685928,3738.0,3738.0
