,0,1,accuracy,macro avg,weighted avg
precision,0.415748031496063,0.985820174025137,0.8889780631353665,0.7007841027606,0.9388479375620672
recall,0.8571428571428571,0.8918367346938776,0.8889780631353665,0.8744897959183673,0.8889780631353665
f1-score,0.559915164369035,0.9364763508342262,0.8889780631353665,0.7481957576016306,0.9054488373427123
support,308.0,3430.0,0.8889780631353665,3738.0,3738.0
